date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:46	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2019%20Aug%202023%2013:19:47%20GMT	https://www.youmeme.io/robots.txt		(from )
16:19:47	72790/72790	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2013:19:47%20GMT	https://www.youmeme.io/	C:/Users/toshk/Downloads/mywebsites/3D-meme/www.youmeme.io/index.html	(from )
16:19:48	69240/69240	---M-Z	200	added ('OK')	text/css	etag:%22d0a26840c0662e483a6ea029129cd885%22	https://uploads-ssl.webflow.com/620e472194ea8519cb5cda07/css/youmeme3.webflow.9643e4161.min.css	C:/Users/toshk/Downloads/mywebsites/3D-meme/uploads-ssl.webflow.com/620e472194ea8519cb5cda07/css/youmeme3.webflow.9643e4161.min.css	(from https://www.youmeme.io/)
16:19:49	19109/19109	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2019%20Aug%202023%2013:19:50%20GMT	https://use.typekit.net/uru6kae.js	C:/Users/toshk/Downloads/mywebsites/3D-meme/use.typekit.net/uru6kae.js	(from https://www.youmeme.io/)
16:19:50	1866/1866	---M--	200	added ('OK')	image/png	etag:%221c1a888ccbf0cb7e316237ac73f684f0%22	https://uploads-ssl.webflow.com/620e472194ea8519cb5cda07/648734aeafa4828634418731_favicon-32x32.png	C:/Users/toshk/Downloads/mywebsites/3D-meme/uploads-ssl.webflow.com/620e472194ea8519cb5cda07/648734aeafa4828634418731_favicon-32x32.png	(from https://www.youmeme.io/)
16:19:50	38105/38105	---M--	200	added ('OK')	image/png	etag:%228da930a9453ed6debb754a6c805f095e%22	https://uploads-ssl.webflow.com/620e472194ea8519cb5cda07/648734a38455a30988d1f84d_youmeme_favicons_specify_256x256.png	C:/Users/toshk/Downloads/mywebsites/3D-meme/uploads-ssl.webflow.com/620e472194ea8519cb5cda07/648734a38455a30988d1f84d_youmeme_favicons_specify_256x256.png	(from https://www.youmeme.io/)
16:19:50	669919/669919	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a38df-bAcPAetNIUcOZk5dw5q1P+pcuz4%22	https://cdn.jsdelivr.net/gh/itsoffbrand/youmeme@latest/offbrand-dog.iife.js	C:/Users/toshk/Downloads/mywebsites/3D-meme/cdn.jsdelivr.net/gh/itsoffbrand/youmeme@latest/offbrand-dog.iife.js	(from https://www.youmeme.io/)
16:19:51	785/785	---M--	200	added ('OK')	image/png	etag:%22a8dc94a8303368001c6cdee6c78c36ac%22	https://uploads-ssl.webflow.com/620e472194ea8519cb5cda07/648735f2e08183d1b84e92e0_favicon.png	C:/Users/toshk/Downloads/mywebsites/3D-meme/uploads-ssl.webflow.com/620e472194ea8519cb5cda07/648735f2e08183d1b84e92e0_favicon.png	(from https://www.youmeme.io/)
16:19:52	5141/5141	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223279fe886640a041519fa3709c0e7510%22	https://uploads-ssl.webflow.com/620e472194ea8519cb5cda07/620e472194ea855b715cda50_youmeme%20logo%20dilo.svg	C:/Users/toshk/Downloads/mywebsites/3D-meme/uploads-ssl.webflow.com/620e472194ea8519cb5cda07/620e472194ea855b715cda50_youmeme%20logo%20dilo.svg	(from https://www.youmeme.io/)
16:19:53	42262/42262	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f16dc24a2eecf995f67711e3760be8d%22	https://uploads-ssl.webflow.com/620e472194ea8519cb5cda07/620e472194ea85cc5b5cda29_logo-mascot.svg	C:/Users/toshk/Downloads/mywebsites/3D-meme/uploads-ssl.webflow.com/620e472194ea8519cb5cda07/620e472194ea85cc5b5cda29_logo-mascot.svg	(from https://www.youmeme.io/)
